title,link,published_at,source
Keploy - 트래픽 기반 자동 API 테스트 생성기,https://news.hada.io/topic?id=27998,2026-03-30T10:11:02+09:00,GeekNews
Show GN: StreamSheet - 대용량 엑셀 내보내기를 위한 Kotlin/Spring Boot 라이브러리,https://news.hada.io/topic?id=27997,2026-03-30T10:07:18+09:00,GeekNews
에이전틱 SaaS가 바꾸는 것 — UI 디자인부터 과금 모델까지,https://news.hada.io/topic?id=27996,2026-03-30T09:57:59+09:00,GeekNews
Korean Law MCP - 대한민국 법령 검색·조회·분석 도구,https://news.hada.io/topic?id=27995,2026-03-30T09:51:02+09:00,GeekNews
Show GN: vLLM Compose - Docker Compose 프로필로 여러 vLLM 모델을 쉽게 전환/서빙,https://news.hada.io/topic?id=27994,2026-03-30T09:50:35+09:00,GeekNews
AI 얼굴인식 오류로 노스다코타 범죄 혐의로 잘못 체포된 테네시 여성,https://news.hada.io/topic?id=27993,2026-03-30T09:48:50+09:00,GeekNews
보이저 1 — 69KB 메모리와 8트랙 테이프 레코더로 운용되는 인류 최장수 탐사선,https://news.hada.io/topic?id=27992,2026-03-30T09:45:50+09:00,GeekNews
니트릴·라텍스 장갑이 미세플라스틱 과대추정 유발 가능성,https://news.hada.io/topic?id=27991,2026-03-30T09:42:50+09:00,GeekNews
유럽에서 Palantir에 반대하자,https://news.hada.io/topic?id=27990,2026-03-30T09:39:50+09:00,GeekNews
LinkedIn이 두 개의 탭에서 2.4GB RAM을 사용함,https://news.hada.io/topic?id=27989,2026-03-30T09:36:50+09:00,GeekNews
리눅스는 인터프리터다,https://news.hada.io/topic?id=27988,2026-03-30T08:33:06+09:00,GeekNews
Knuth의 ‘Claude Cycles’ 문제에서 인간·AI·증명 보조기의 협업 진전,https://news.hada.io/topic?id=27987,2026-03-30T07:32:57+09:00,GeekNews
"미 법무부, FBI 국장 카쉬 파텔의 개인 이메일 해킹 확인",https://news.hada.io/topic?id=27986,2026-03-30T05:45:01+09:00,GeekNews
AI가 항상 사용자를 옳다고 말해줄 때 생기는 위험,https://news.hada.io/topic?id=27985,2026-03-30T03:33:02+09:00,GeekNews
"AMD Ryzen 9 9950X3D2 Dual Edition, 단일 칩에 208MB 캐시 탑재",https://news.hada.io/topic?id=27984,2026-03-30T02:48:01+09:00,GeekNews
Cocoa-Way – macOS에서 Linux 앱을 네이티브로 실행하는 Wayland 컴포지터,https://news.hada.io/topic?id=27983,2026-03-30T01:37:06+09:00,GeekNews
"CERN, 초소형 AI 모델을 FPGA에 내장해 실시간 LHC 데이터 필터링 수행",https://news.hada.io/topic?id=27982,2026-03-30T01:34:06+09:00,GeekNews
